anon_subj_idx,acc,rt,trial,epoch_number,epoch_trial,epoch_trial_run,reward_code,lambda,opt_choice_prob,id_choice,id_solution,LR_choice,LR_solution,change_point
1,0.0,0.6628119945526124,9,8.0,7.0,7.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,0.0,0.5737640857696532,10,8.0,8.0,8.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,0.0,0.624713897705078,11,8.0,9.0,9.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,1.0,0.6206018924713135,12,8.0,10.0,10.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,0.0,0.5875198841094971,13,8.0,-3.0,-3.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,1.0,0.6292219161987305,14,8.0,-2.0,-2.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.701848030090332,15,8.0,-1.0,-1.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.6255249977111816,16,9.0,0.0,0.0,0,10.0,0.65,102.0,109.0,76.0,82.0,1.0
1,0.0,0.6311569213867188,17,9.0,1.0,1.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.689979076385498,18,9.0,2.0,2.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
1,0.0,0.604196071624756,19,9.0,3.0,3.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.6511890888214111,20,9.0,4.0,4.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,0.0,0.6240971088409423,21,9.0,5.0,5.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
1,0.0,0.6415321826934814,22,9.0,-3.0,-3.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.6056520938873292,23,9.0,-2.0,-2.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.6989340782165527,24,9.0,-1.0,-1.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,0.0,0.5488450527191162,25,10.0,0.0,0.0,0,10.0,0.65,109.0,102.0,82.0,76.0,1.0
1,1.0,0.6396801471710205,26,10.0,1.0,1.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.5829739570617676,27,10.0,2.0,2.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.629004955291748,28,10.0,3.0,3.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,0.0,0.6218729019165039,29,10.0,4.0,4.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,1.0,0.6750781536102295,30,10.0,5.0,5.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,,,31,10.0,6.0,6.0,0,10.0,0.65,,102.0,,82.0,0.0
1,1.0,0.4926929473876953,32,10.0,7.0,7.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.5211758613586426,33,10.0,8.0,8.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.484889030456543,34,10.0,9.0,9.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,1.0,0.5547840595245361,35,10.0,-3.0,-3.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,1.0,0.6263561248779297,36,10.0,-2.0,-2.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.624613046646118,37,10.0,-1.0,-1.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,1.0,0.7211408615112305,38,11.0,0.0,0.0,0,10.0,0.65,109.0,109.0,76.0,76.0,1.0
1,0.0,0.5389690399169921,39,11.0,1.0,1.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.5488429069519043,40,11.0,2.0,2.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
1,0.0,0.5428290367126465,41,11.0,3.0,3.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.5664751529693604,42,11.0,4.0,4.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.5940570831298828,43,11.0,5.0,5.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.6291170120239258,44,11.0,6.0,6.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,0.0,0.5576748847961426,45,11.0,-3.0,-3.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
1,1.0,0.5702469348907471,46,11.0,-2.0,-2.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.6070020198822021,47,11.0,-1.0,-1.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,0.0,0.568889856338501,48,12.0,0.0,0.0,0,10.0,0.65,109.0,102.0,82.0,76.0,1.0
1,1.0,0.6601178646087646,49,12.0,1.0,1.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,0.0,0.642806053161621,50,12.0,2.0,2.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.6305980682373047,51,12.0,3.0,3.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,1.0,0.6411559581756593,52,12.0,4.0,4.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.5886311531066895,53,12.0,-3.0,-3.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,0.0,0.6226389408111572,54,12.0,-2.0,-2.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,1.0,0.6217961311340332,55,12.0,-1.0,-1.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,1.0,0.6227600574493408,56,13.0,0.0,0.0,0,10.0,0.65,109.0,109.0,82.0,82.0,1.0
1,1.0,0.5810179710388184,57,13.0,-3.0,-3.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.6739459037780762,58,13.0,-2.0,-2.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,0.0,0.6394309997558593,59,13.0,-1.0,-1.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
1,1.0,0.300645112991333,0,15.0,2.0,2.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,0.0,0.5358731746673584,1,15.0,-3.0,-3.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
1,1.0,0.5592961311340332,2,15.0,-2.0,-2.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,0.0,0.5036678314208984,3,15.0,-1.0,-1.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.570585012435913,4,16.0,0.0,0.0,0,10.0,0.65,102.0,102.0,82.0,82.0,1.0
1,0.0,0.5627069473266602,5,16.0,1.0,1.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.5607850551605226,6,16.0,2.0,2.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,1.0,0.6589970588684082,7,16.0,3.0,3.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.6909730434417725,8,16.0,-3.0,-3.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.5331850051879883,9,16.0,-2.0,-2.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,1.0,0.61090087890625,10,16.0,-1.0,-1.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.5655159950256348,11,17.0,0.0,0.0,0,10.0,0.65,102.0,109.0,82.0,76.0,1.0
1,1.0,0.5999889373779297,12,17.0,-3.0,-3.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,0.0,0.547908067703247,13,17.0,-2.0,-2.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.5423729419708252,14,17.0,-1.0,-1.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,0.0,0.6511950492858888,15,18.0,0.0,0.0,0,10.0,0.65,109.0,102.0,82.0,76.0,1.0
1,0.0,0.6407678127288818,16,18.0,1.0,1.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,0.0,0.5732810497283936,17,18.0,2.0,2.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,0.0,0.614420175552368,18,18.0,3.0,3.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,0.0,0.5998308658599854,19,18.0,4.0,4.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,1.0,0.614487886428833,20,18.0,5.0,5.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.5644547939300538,21,18.0,6.0,6.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.6630558967590332,22,18.0,7.0,7.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.5930140018463135,23,18.0,8.0,8.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,1.0,0.6485919952392577,24,18.0,-3.0,-3.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,1.0,0.63238787651062,25,18.0,-2.0,-2.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.6157910823822021,26,18.0,-1.0,-1.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.7305669784545897,27,19.0,0.0,0.0,0,10.0,0.65,102.0,109.0,76.0,82.0,1.0
1,1.0,0.697192907333374,28,19.0,1.0,1.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,0.0,0.6382129192352296,29,19.0,2.0,2.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.6117029190063475,30,19.0,3.0,3.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.5279951095581055,31,19.0,4.0,4.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.5527570247650145,32,19.0,5.0,5.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.629511833190918,33,19.0,6.0,6.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,,,34,19.0,7.0,7.0,0,10.0,0.65,,109.0,,76.0,0.0
1,1.0,0.5286018848419188,35,19.0,8.0,8.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,1.0,0.5341620445251465,36,19.0,9.0,9.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,0.0,0.6258111000061036,37,19.0,10.0,10.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.5816459655761719,38,19.0,11.0,11.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,0.0,0.6012570858001709,39,19.0,12.0,12.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.5675411224365234,40,19.0,13.0,13.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.5712709426879882,41,19.0,14.0,14.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.581278085708618,42,19.0,15.0,15.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
